inventory_id,organization_unit_id
1,1
1116,1
1154,2
1519,2
2,3
1198,3
9,4
1138,4
11,5
2103,5
403,6
2172,6
669,7
1124,7
3,8
1125,8
670,9
1128,9
730,10
1129,10
4,11
1130,11
664,12
1131,12
5,13
1132,13
661,14
1135,14
6,15
1136,15
456,16
1137,16
7,17
686,17
660,20
687,20
774,21
959,21
1141,22
1188,22
1323,23
1474,23
672,24
1145,24
10,25
1146,25
673,28
1326,28
674,29
1149,29
12,33
1150,33
675,35
1151,35
13,37
1152,37
662,38
1308,38
8,39
1184,39
15,45
1228,45
16,47
1156,47
54,53
1157,53
21,54
1158,54
22,56
1159,56
370,57
1160,57
371,58
1161,58
372,62
1330,62
617,63
1331,63
1213,64
1236,64
299,65
1247,65
298,66
1430,66
25,67
1432,67
768,68
1434,68
874,69
1750,69
901,70
1041,70
1182,71
1653,71
1267,73
1759,73
29,75
1270,75
354,76
1307,76
