day,department,department_id,from_time,opening_hours_id,organization_unit_id,position,to_time
MONDAY,Véhicules neufs,2,08:30:00,7,57,1,21:00:00
TUESDAY,Véhicules neufs,2,08:30:00,8,57,2,21:00:00
WEDNESDAY,Véhicules neufs,2,08:30:00,9,57,3,21:00:00
THURSDAY,Véhicules neufs,2,08:30:00,10,57,4,21:00:00
MONDAY,Véhicules d'occasion,3,08:30:00,12,57,1,21:00:00
TUESDAY,Véhicules d'occasion,3,08:30:00,13,57,2,21:00:00
WEDNESDAY,Véhicules d'occasion,3,08:30:00,14,57,3,21:00:00
THURSDAY,Véhicules d'occasion,3,08:30:00,15,57,4,21:00:00
MONDAY,Service après-vente,4,07:30:00,17,57,1,17:00:00
TUESDAY,Service après-vente,4,07:30:00,18,57,2,17:00:00
WEDNESDAY,Service après-vente,4,07:30:00,19,57,3,17:00:00
THURSDAY,Service après-vente,4,07:30:00,20,57,4,17:00:00
FRIDAY,Service après-vente,4,07:30:00,21,57,5,17:00:00
MONDAY,Pièces et accessoires,5,07:30:00,22,57,1,17:00:00
TUESDAY,Pièces et accessoires,5,07:30:00,23,57,2,17:00:00
WEDNESDAY,Pièces et accessoires,5,07:30:00,24,57,3,17:00:00
THURSDAY,Pièces et accessoires,5,07:30:00,25,57,4,17:00:00
FRIDAY,Pièces et accessoires,5,07:30:00,26,57,5,17:00:00
MONDAY,Carrosserie,6,07:30:00,27,57,1,17:00:00
TUESDAY,Carrosserie,6,07:30:00,28,57,2,17:00:00
WEDNESDAY,Carrosserie,6,07:30:00,29,57,3,17:00:00
THURSDAY,Carrosserie,6,07:30:00,30,57,4,17:00:00
FRIDAY,Carrosserie,6,07:30:00,31,57,5,17:00:00
MONDAY,Véhicules neufs,7,08:30:00,32,84,1,21:00:00
TUESDAY,Véhicules neufs,7,08:30:00,33,84,2,21:00:00
WEDNESDAY,Véhicules neufs,7,08:30:00,34,84,3,21:00:00
THURSDAY,Véhicules neufs,7,08:30:00,35,84,4,21:00:00
FRIDAY,Véhicules neufs,7,08:30:00,36,84,5,21:00:00
MONDAY,Véhicules d'occasion,8,08:30:00,37,84,1,21:00:00
TUESDAY,Véhicules d'occasion,8,08:30:00,38,84,2,21:00:00
WEDNESDAY,Véhicules d'occasion,8,08:30:00,39,84,3,21:00:00
THURSDAY,Véhicules d'occasion,8,08:30:00,40,84,4,21:00:00
FRIDAY,Véhicules d'occasion,8,08:30:00,41,84,5,21:00:00
MONDAY,Service après-vente,9,07:30:00,42,84,1,17:00:00
TUESDAY,Service après-vente,9,07:30:00,43,84,2,17:00:00
WEDNESDAY,Service après-vente,9,07:30:00,44,84,3,17:00:00
THURSDAY,Service après-vente,9,07:30:00,45,84,4,17:00:00
FRIDAY,Service après-vente,9,07:30:00,46,84,5,17:00:00
MONDAY,Pièces et accessoires,10,07:30:00,47,84,1,17:00:00
TUESDAY,Pièces et accessoires,10,07:30:00,48,84,2,17:00:00
WEDNESDAY,Pièces et accessoires,10,07:30:00,49,84,3,17:00:00
THURSDAY,Pièces et accessoires,10,07:30:00,50,84,4,17:00:00
FRIDAY,Pièces et accessoires,10,07:30:00,51,84,5,17:00:00
MONDAY,Carrosserie,11,07:30:00,52,84,1,17:00:00
TUESDAY,Carrosserie,11,07:30:00,53,84,2,17:00:00
WEDNESDAY,Carrosserie,11,07:30:00,54,84,3,17:00:00
THURSDAY,Carrosserie,11,07:30:00,55,84,4,17:00:00
FRIDAY,Carrosserie,11,07:30:00,56,84,5,17:00:00
MONDAY,Service,12,08:00:00,57,86,1,17:00:00
TUESDAY,Service,12,08:00:00,58,86,2,17:00:00
WEDNESDAY,Service,12,08:00:00,59,86,3,17:00:00
THURSDAY,Service,12,08:00:00,60,86,4,17:00:00
FRIDAY,Service,12,08:00:00,61,86,5,17:00:00
MONDAY,Parts and Service,14,08:00:00,62,87,1,17:00:00
TUESDAY,Parts and Service,14,08:00:00,63,87,2,17:00:00
WEDNESDAY,Parts and Service,14,08:00:00,64,87,3,17:00:00
THURSDAY,Parts and Service,14,08:00:00,65,87,4,17:00:00
FRIDAY,Parts and Service,14,08:00:00,66,87,5,17:00:00
MONDAY,Parts and Service,16,08:00:00,67,1409,1,17:00:00
TUESDAY,Parts and Service,16,08:00:00,68,1409,2,17:00:00
WEDNESDAY,Parts and Service,16,08:00:00,69,1409,3,17:00:00
THURSDAY,Parts and Service,16,08:00:00,70,1409,4,17:00:00
FRIDAY,Parts and Service,16,08:00:00,71,1409,5,17:00:00
MONDAY,Sales,13,09:00:00,72,86,1,21:00:00
TUESDAY,Sales,13,09:00:00,73,86,2,21:00:00
WEDNESDAY,Sales,13,09:00:00,74,86,3,21:00:00
THURSDAY,Sales,13,09:00:00,75,86,4,21:00:00
FRIDAY,Sales,13,09:00:00,76,86,5,17:00:00
MONDAY,Sales,15,09:00:00,77,87,1,21:00:00
TUESDAY,Sales,15,09:00:00,78,87,2,21:00:00
WEDNESDAY,Sales,15,09:00:00,79,87,3,21:00:00
THURSDAY,Sales,15,09:00:00,80,87,4,21:00:00
FRIDAY,Sales,15,09:00:00,81,87,5,17:00:00
MONDAY,Sales,17,09:00:00,82,1409,1,21:00:00
TUESDAY,Sales,17,09:00:00,83,1409,2,21:00:00
WEDNESDAY,Sales,17,09:00:00,84,1409,3,21:00:00
THURSDAY,Sales,17,09:00:00,85,1409,4,21:00:00
FRIDAY,Sales,17,09:00:00,86,1409,5,17:00:00
MONDAY,Service,19,08:00:00,92,90,1,17:00:00
TUESDAY,Service,19,08:00:00,93,90,2,17:00:00
WEDNESDAY,Service,19,08:00:00,94,90,3,17:00:00
THURSDAY,Service,19,08:00:00,95,90,4,17:00:00
FRIDAY,Service,19,08:00:00,96,90,5,17:00:00
MONDAY,Sales,21,09:00:00,102,94,1,18:00:00
TUESDAY,Sales,21,09:00:00,103,94,2,18:00:00
WEDNESDAY,Sales,21,09:00:00,104,94,3,18:00:00
WEEKEND,Sales,22,,108,93,1,
WEEKDAYS,Sales,22,09:00:00,109,93,2,21:00:00
WEEKEND,Service,23,,110,93,1,
WEEKDAYS,Service,23,07:30:00,111,93,2,17:00:00
WEEKEND,Pièces,24,,112,93,1,
WEEKDAYS,Pièces,24,07:30:00,113,93,2,17:00:00
MONDAY,Sales,25,,114,63,0,
TUESDAY,Sales,25,08:00:00,115,63,0,17:00:00
WEDNESDAY,Sales,25,08:00:00,116,63,0,17:00:00
THURSDAY,Sales,25,08:00:00,117,63,0,17:00:00
FRIDAY,Sales,25,08:00:00,118,63,0,17:00:00
SATURDAY,Sales,25,08:00:00,119,63,0,16:00:00
SUNDAY,Sales,25,10:00:00,120,63,0,15:00:00
MONDAY,Service,26,08:00:00,121,63,4,17:00:00
